model,INVENTORY_ID,PLOT_ID,AGE,MUNICIPALITY,SPECIE_IFN_ID,BASAL_AREA,DENSITY,MEAN_DBH,MEAN_H,QM_DBH,DOMINANT_H
Ppin_gal_coast,IFN3,36_1526_A_4_IFN3,25,14,26,15.6016391111111,175.989999294505,32.7479099678457,21.8987138263666,33.5966657356508,21.8978494623656
Ppin_gal_coast,IFN3,36_1527_A_1_IFN3,35,14,26,19.1680066666667,312.368101641693,26.0159873188406,15.6908967391304,27.9518267661564,20.8446327683616
Ppin_gal_coast,IFN3,36_1530_A_1_IFN3,25,50,26,20.9433771111111,228.192820628646,32.272783632982,21.4739615623063,34.1843579518511,25.8883248730964
Ppin_gal_coast,IFN3,36_1534_A_4_IFN3,15,1,26,13.73614375,714.428855656952,14.8121287128713,17.8861386138614,15.6461676419879,19.8709677419355
Ppin_gal_coast,IFN3,36_1536_A_4_IFN3,10,14,26,0.63600625,31.8309886183791,15.95,7.5,15.95,7.5
Ppin_gal_coast,IFN3,36_1550_A_1_IFN3,30,1,26,35.4011902777778,785.022914859491,20.3892773472698,14.8512344566589,23.9619867944447,23.3729281767956
Ppin_gal_coast,IFN3,36_1554_A_1_IFN3,25,50,26,27.5793118611111,519.057321070368,24.0019215044971,17.6310983919324,26.0099257082797,23.2204301075269
Ppin_gal_coast,IFN3,36_1556_A_1_IFN3,25,1,26,3.42448958333333,74.2723067762178,24.0690476190476,14.3571428571429,24.2292252691426,14.3571428571429
Ppin_gal_coast,IFN3,36_1563_A_3E_IFN3,30,50,26,45.2789528888889,1116.20666755116,19.6589226869455,14.1803548795944,22.7264153994306,24.2
Ppin_gal_coast,IFN3,36_1564_A_1_IFN3,25,34,26,27.7773912222222,786.720567585804,19.1668045315591,17.66633698975,21.2026690699031,22.0516304347826
Ppin_gal_coast,IFN3,36_1670_A_6C_IFN3,10,61,26,1.576825,254.647908947033,8.875,6.25,8.87925954120049,6.5
